aop_site,shp,flightlines,kml_color,color,condition
BLUE,BLUE_AOSpts,20170506_161227,ff00ff00,green,good
BLUE,BLUE_AOSpts,20170506_160715,ff00ff00,green,good
DELA,BLWA_AOSpts,20170515_150942,ff00ff00,green,good
DELA,BLWA_AOSpts,20170515_150153,ff00ff00,green,good
DELA,BLWA_AOSpts,20170526_170443,ff00ff00,green,good
DELA,BLWA_AOSpts,20170515_165759,ff00ffff,yellow,okay
DELA,BLWA_AOSpts,20170516_203433,ff0000ff,red,bad
DELA,BLWA_AOSpts,20180430_155951,ff00ff00,green,good
DELA,BLWA_AOSpts,20190429_151835,ff00ffff,yellow,okay
DELA,BLWA_AOSpts,20190429_151153,ff00ffff,yellow,okay
JERC,FLNT_AOSpts,20170917_174613,ff00ffff,yellow,okay
JERC,FLNT_AOSpts,20170917_144900,ff00ff00,green,good
JERC,FLNT_AOSpts,20170918_165616,ff00ff00,green,good
JERC,FLNT_AOSpts,20180919_153133,ff00ff00,green,good
JERC,FLNT_AOSpts,20180916_155910,ff00ff00,green,good
JERC,FLNT_AOSpts,20190830_182242,ff0000ff,red,bad
JERC,FLNT_AOSpts,20190906_144357,ff00ff00,green,good
LENO,TOMB_AOSpts,20170517_190309,ff0000ff,red,bad
LENO,TOMB_AOSpts,20180428_152550,ff00ff00,green,good
LENO,TOMB_AOSpts,20190506_185225,ff0000ff,red,bad
LENO,TOMB_AOSpts,20190506_181146,ff0000ff,red,bad
LIRO,LIRO_AOSpts,20170911_200100,ff00ff00,green,good
LIRO,LIRO_AOSpts,20170911_195715,ff00ff00,green,good
LIRO,LIRO_AOSpts,20170911_201126,ff00ff00,green,good
LIRO,LIRO_AOSpts,20200816_150613,ff0000ff,red,bad
LIRO,LIRO_AOSpts,20200816_152317,ff0000ff,red,bad
LIRO,LIRO_AOSpts,20200816_152652,ff0000ff,red,bad
OSBS,BARC_AOSpts,20140507_152342,ff00ff00,green,good
OSBS,BARC_AOSpts,20140520_155830,ff00ffff,yellow,okay
OSBS,BARC_AOSpts,20140520_155014,ff00ffff,yellow,okay
OSBS,BARC_AOSpts,20170927_170305,ff0000ff,red,bad
OSBS,BARC_AOSpts,20181012_172548,ff00ff00,green,good
OSBS,BARC_AOSpts,20180915_154327,ff0000ff,red,bad
OSBS,SUGG_AOSpts,20140507_154018,ff00ff00,green,good
OSBS,SUGG_AOSpts,20140520_152515,ff00ffff,yellow,okay
OSBS,SUGG_AOSpts,20140520_162436,ff0000ff,red,bad
OSBS,SUGG_AOSpts,20140520_153408,ff00ffff,yellow,okay
OSBS,SUGG_AOSpts,20140520_145919,ff00ffff,yellow,okay
OSBS,SUGG_AOSpts,20140507_140657,ff00ff00,green,good
OSBS,SUGG_AOSpts,20140507_154756,ff00ff00,green,good
OSBS,SUGG_AOSpts,20170927_171031,ff0000ff,red,bad
OSBS,SUGG_AOSpts,20170927_163135,ff0000ff,red,bad
OSBS,SUGG_AOSpts,20170927_171735,ff0000ff,red,bad
OSBS,SUGG_AOSpts,20181005_134947,ff00ff00,green,good
OSBS,SUGG_AOSpts,20181012_174055,ff00ff00,green,good
OSBS,SUGG_AOSpts,20181012_174934,ff00ff00,green,good
OSBS,SUGG_AOSpts,20180915_155817,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20170714_201551,ff00ffff,yellow,okay
TOOL,TOOK_AOSpts,20170714_203317,ff00ffff,yellow,okay
TOOL,TOOK_AOSpts,20170714_204140,ff00ffff,yellow,okay
TOOL,TOOK_AOSpts,20170714_202447,ff00ffff,yellow,okay
TOOL,TOOK_AOSpts,20180707_200701,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20180707_204103,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20180707_201743,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20190711_204910,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20190711_203112,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20190711_204033,ff0000ff,red,bad
TOOL,TOOK_AOSpts,20190711_205747,ff0000ff,red,bad
UNDE,CRAM_AOSpts,20160902_173948,ff00ff00,green,good
UNDE,CRAM_AOSpts,20160902_174607,ff00ff00,green,good
UNDE,CRAM_AOSpts,20170912_174910,ff00ff00,green,good
UNDE,CRAM_AOSpts,20170912_175640,ff00ff00,green,good
UNDE,CRAM_AOSpts,20190608_153245,ff00ff00,green,good
UNDE,CRAM_AOSpts,20190606_192344,ff00ff00,green,good
UNDE,CRAM_AOSpts,20200811_171525,ff00ff00,green,good
WOOD,PRLA_AOSpts,20170621_205644,ff00ffff,yellow,okay
WOOD,PRLA_AOSpts,20190727_152346,ff00ff00,green,good
WOOD,PRLA_AOSpts,20190726_163004,ff00ff00,green,good
WOOD,PRLA_AOSpts,20190730_153032,ff00ffff,yellow,okay
WOOD,PRLA_AOSpts,20190726_151709,ff00ff00,green,good
WOOD,PRLA_AOSpts,20190726_162146,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200626_192243,ff0000ff,red,bad
WOOD,PRLA_AOSpts,20200624_161319,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200702_171105,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200624_173036,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200624_162804,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200624_162051,ff00ff00,green,good
WOOD,PRPO_AOSpts,20170621_183544,ff0000ff,red,bad
WOOD,PRPO_AOSpts,20170619_154940,ff00ff00,green,good
