aop_site,shp,flightlines,kml_color,color,condition
WOOD,PRLA_AOSpts,20170621_205644,ff00ffff,yellow,okay
WOOD,PRLA_AOSpts,20190727_152346,ff00ff00,green,good
WOOD,PRLA_AOSpts,20190726_163004,ff00ff00,green,good
WOOD,PRLA_AOSpts,20190730_153032,ff00ffff,yellow,okay
WOOD,PRLA_AOSpts,20190726_151709,ff00ff00,green,good
WOOD,PRLA_AOSpts,20190726_162146,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200626_192243,ff0000ff,red,bad
WOOD,PRLA_AOSpts,20200624_161319,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200702_171105,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200624_173036,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200624_162804,ff00ff00,green,good
WOOD,PRLA_AOSpts,20200624_162051,ff00ff00,green,good
