domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,sensor_zenith,solar_zenith,clouds,flightline,aop_site,crs,flightdate,radfile,gpstime_hrs,rad_flightline
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6366221,7386,351,402423.5,3283307.5,3.540428876876831,30.09098713669444,Green (<10%) cloud cover,20140507_152342,OSBS,EPSG:32617,2014-05-07,NEON_D03_OSBS_DP1_20140507_L019-1_radiance,15.432674407958984,L019-1
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6224061,7221,421,402493.5,3283472.5,0.5829877853393555,30.09098713669444,Green (<10%) cloud cover,20140507_152342,OSBS,EPSG:32617,2014-05-07,NEON_D03_OSBS_DP1_20140507_L019-1_radiance,15.431862831115724,L019-1
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6484315,7523,351,402423.5,3283170.5,3.4435248374938965,30.09098713669444,Green (<10%) cloud cover,20140507_152342,OSBS,EPSG:32617,2014-05-07,NEON_D03_OSBS_DP1_20140507_L019-1_radiance,15.433438301086426,L019-1
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6726716,6576,491,402423.5,3283307.5,3.2985897064208984,23.09519102760117,Yellow (10 - 50%) cloud cover,20140520_155014,OSBS,EPSG:32617,2014-05-20,NEON_D03_OSBS_DP1_20140520_L019-1_radiance,15.873550415039064,L019-1
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6557991,6411,561,402493.5,3283472.5,1.2319331169128418,23.09519102760117,Yellow (10 - 50%) cloud cover,20140520_155014,OSBS,EPSG:32617,2014-05-20,NEON_D03_OSBS_DP1_20140520_L019-1_radiance,15.874533653259276,L019-1
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6866867,6713,491,402423.5,3283170.5,3.256176233291626,23.09519102760117,Yellow (10 - 50%) cloud cover,20140520_155014,OSBS,EPSG:32617,2014-05-20,NEON_D03_OSBS_DP1_20140520_L019-1_radiance,15.872716903686523,L019-1
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6940701,7369,45,402493.5,3283472.5,21.034067153930664,21.437108954507245,Yellow (10 - 50%) cloud cover,20140520_155830,OSBS,EPSG:32617,2014-05-20,NEON_D03_OSBS_DP1_20140520_L018-1_radiance,16.005043029785156,L018-1
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6967294,6661,934,402423.5,3283307.5,18.44963836669922,31.466435115663195,Red (> 50%) cloud cover,20170927_170305,OSBS,EPSG:32617,2017-09-27,NEON_D03_OSBS_DP1_20170927_L020-1_radiance,17.143821716308594,L020-1
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6794774,6496,1004,402493.5,3283472.5,21.716506958007812,31.466435115663195,Red (> 50%) cloud cover,20170927_170305,OSBS,EPSG:32617,2017-09-27,NEON_D03_OSBS_DP1_20170927_L020-1_radiance,17.14458465576172,L020-1
D03,BARC,BARC.AOS.outlet,WGS84,outlet,7110596,6798,934,402423.5,3283170.5,18.726991653442383,31.466435115663195,Red (> 50%) cloud cover,20170927_170305,OSBS,EPSG:32617,2017-09-27,NEON_D03_OSBS_DP1_20170927_L020-1_radiance,17.143110275268555,L020-1
