aop_siteyear,aq_site,aop_yr,loc_type,flightdate,radiance_time,collectDate,namedLocation,analyteid,analyte,analyteConcentration,time_diff_days,multiple_flightlines,multiple_flightdates,overlap_final
BARC2017,BARC,2017,buoy.c0,2017-09-27,2017-09-27T00:00:00Z,2017-10-10T14:03:00Z,BARC.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.0619,13.6,NA,FALSE,NA
BARC2017,BARC,2017,buoy.c0,2017-09-27,2017-09-27T00:00:00Z,2017-10-10T14:03:00Z,BARC.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0418,13.6,NA,FALSE,NA
BARC2017,BARC,2017,buoy.c0,2017-09-27,2017-09-27T00:00:00Z,2017-10-10T14:03:00Z,BARC.AOS.buoy.c0,doc,DOC,2.491,13.6,NA,FALSE,NA
BARC2017,BARC,2017,buoy.c0,2017-09-27,2017-09-27T00:00:00Z,2017-10-10T14:03:00Z,BARC.AOS.buoy.c0,tss,TSS,2,13.6,NA,FALSE,NA
BARC2017,BARC,2017,buoy.c0,2017-09-27,2017-09-27T00:00:00Z,2017-11-09T00:00:00Z,BARC.AOS.buoy.c0,chla,pheophytin,1.15,43,NA,FALSE,NA
BARC2017,BARC,2017,buoy.c0,2017-09-27,2017-09-27T00:00:00Z,2017-11-09T00:00:00Z,BARC.AOS.buoy.c0,chla,chlorophyll a,0.83,43,NA,FALSE,NA
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.035,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.0364,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.0374,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0238,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0252,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,doc,DOC,2.297,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,doc,DOC,2.374,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,doc,DOC,2.341,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-09-05T14:27:00Z,BARC.AOS.buoy.c0,tss,TSS,2,-9.4,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-11-12T00:00:00Z,BARC.AOS.buoy.c0,chla,pheophytin,1.2,58,NA,TRUE,FALSE
BARC2018,BARC,2018,buoy.c0,2018-09-15,2018-09-15T00:00:00Z,2018-11-12T00:00:00Z,BARC.AOS.buoy.c0,chla,chlorophyll a,2.5,58,NA,TRUE,FALSE
BARC2019,BARC,2019,buoy.c0,2019-04-16,2019-04-16T18:15:19Z,2019-04-11T14:42:00Z,BARC.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.0301,-5.1,FALSE,FALSE,TRUE
BARC2019,BARC,2019,buoy.c0,2019-04-16,2019-04-16T18:15:19Z,2019-04-11T14:42:00Z,BARC.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0228,-5.1,FALSE,FALSE,TRUE
BARC2019,BARC,2019,buoy.c0,2019-04-16,2019-04-16T18:15:19Z,2019-04-11T14:42:00Z,BARC.AOS.buoy.c0,doc,DOC,2.777,-5.1,FALSE,FALSE,TRUE
BARC2019,BARC,2019,buoy.c0,2019-04-16,2019-04-16T18:15:19Z,2019-04-11T14:42:00Z,BARC.AOS.buoy.c0,tss,TSS,0,-5.1,FALSE,FALSE,TRUE
BARC2019,BARC,2019,buoy.c0,2019-04-16,2019-04-16T18:15:19Z,2019-02-20T00:00:00Z,BARC.AOS.buoy.c0,chla,chlorophyll a,1.23,-55.8,FALSE,FALSE,TRUE
BARC2019,BARC,2019,buoy.c0,2019-04-16,2019-04-16T18:15:19Z,2019-02-20T00:00:00Z,BARC.AOS.buoy.c0,chla,pheophytin,0.97,-55.8,FALSE,FALSE,TRUE
