domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,radfile,aop_site,crs,gpstime_hrs
D03,BARC,BARC.AOS.inlet,WGS84,inlet,5630919,6407,45,402493.5,3283472.5,NEON_D03_OSBS_DP1_20140507_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6366221,7386,351,402423.5,3283307.5,NEON_D03_OSBS_DP1_20140507_L019-1_radiance,OSBS,EPSG:32617,15.432674407958984
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6224061,7221,421,402493.5,3283472.5,NEON_D03_OSBS_DP1_20140507_L019-1_radiance,OSBS,EPSG:32617,15.431862831115724
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6484315,7523,351,402423.5,3283170.5,NEON_D03_OSBS_DP1_20140507_L019-1_radiance,OSBS,EPSG:32617,15.433438301086426
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6194218,6632,864,402423.5,3283307.5,NEON_D03_OSBS_DP1_20140507_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6040178,6467,934,402493.5,3283472.5,NEON_D03_OSBS_DP1_20140507_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6322176,6769,864,402423.5,3283170.5,NEON_D03_OSBS_DP1_20140507_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6940701,7369,45,402493.5,3283472.5,NEON_D03_OSBS_DP1_20140520_L018-1_radiance,OSBS,EPSG:32617,16.005043029785156
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6726716,6576,491,402423.5,3283307.5,NEON_D03_OSBS_DP1_20140520_L019-1_radiance,OSBS,EPSG:32617,15.873550415039064
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6557991,6411,561,402493.5,3283472.5,NEON_D03_OSBS_DP1_20140520_L019-1_radiance,OSBS,EPSG:32617,15.874533653259276
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6866867,6713,491,402423.5,3283170.5,NEON_D03_OSBS_DP1_20140520_L019-1_radiance,OSBS,EPSG:32617,15.872716903686523
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,7103374,7446,844,402423.5,3283307.5,NEON_D03_OSBS_DP1_20140520_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6946034,7281,914,402493.5,3283472.5,NEON_D03_OSBS_DP1_20140520_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.outlet,WGS84,outlet,7234072,7583,844,402423.5,3283170.5,NEON_D03_OSBS_DP1_20140520_L020-1_radiance,OSBS,EPSG:32617,15.73557186126709
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6589726,6664,19,402423.5,3283307.5,NEON_D03_OSBS_DP1_20170927_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6426611,6499,89,402493.5,3283472.5,NEON_D03_OSBS_DP1_20170927_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6725219,6801,19,402423.5,3283170.5,NEON_D03_OSBS_DP1_20170927_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,7053415,6998,439,402423.5,3283307.5,NEON_D03_OSBS_DP1_20170927_L019-1_radiance,OSBS,EPSG:32617,17.014114379882812
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6887165,6833,509,402493.5,3283472.5,NEON_D03_OSBS_DP1_20170927_L019-1_radiance,OSBS,EPSG:32617,17.013460159301758
D03,BARC,BARC.AOS.outlet,WGS84,outlet,7191511,7135,439,402423.5,3283170.5,NEON_D03_OSBS_DP1_20170927_L019-1_radiance,OSBS,EPSG:32617,17.014787673950195
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6967294,6661,934,402423.5,3283307.5,NEON_D03_OSBS_DP1_20170927_L020-1_radiance,OSBS,EPSG:32617,17.143821716308594
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6794774,6496,1004,402493.5,3283472.5,NEON_D03_OSBS_DP1_20170927_L020-1_radiance,OSBS,EPSG:32617,17.14458465576172
D03,BARC,BARC.AOS.outlet,WGS84,outlet,7110596,6798,934,402423.5,3283170.5,NEON_D03_OSBS_DP1_20170927_L020-1_radiance,OSBS,EPSG:32617,17.143110275268555
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,5378893,6699,399,402423.5,3283307.5,NEON_D03_OSBS_DP1_20180915_L019-1_radiance,OSBS,EPSG:32617,15.777082443237305
D03,BARC,BARC.AOS.inlet,WGS84,inlet,5246468,6534,469,402493.5,3283472.5,NEON_D03_OSBS_DP1_20180915_L019-1_radiance,OSBS,EPSG:32617,15.777946472167969
D03,BARC,BARC.AOS.outlet,WGS84,outlet,5488904,6836,399,402423.5,3283170.5,NEON_D03_OSBS_DP1_20180915_L019-1_radiance,OSBS,EPSG:32617,15.776315689086914
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,5622843,7293,711,402423.5,3283307.5,NEON_D03_OSBS_DP1_20180915_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.outlet,WGS84,outlet,5728470,7430,711,402423.5,3283170.5,NEON_D03_OSBS_DP1_20180915_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,6522094,7176,19,402423.5,3283307.5,NEON_D03_OSBS_DP1_20181012_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.inlet,WGS84,inlet,6372179,7011,89,402493.5,3283472.5,NEON_D03_OSBS_DP1_20181012_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.outlet,WGS84,outlet,6646627,7313,19,402423.5,3283170.5,NEON_D03_OSBS_DP1_20181012_L018-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,5552515,6739,403,402423.5,3283307.5,NEON_D03_OSBS_DP1_20181012_L019-1_radiance,OSBS,EPSG:32617,17.484228134155273
D03,BARC,BARC.AOS.inlet,WGS84,inlet,5416625,6574,473,402493.5,3283472.5,NEON_D03_OSBS_DP1_20181012_L019-1_radiance,OSBS,EPSG:32617,17.485050201416016
D03,BARC,BARC.AOS.outlet,WGS84,outlet,5665403,6876,403,402423.5,3283170.5,NEON_D03_OSBS_DP1_20181012_L019-1_radiance,OSBS,EPSG:32617,17.483497619628906
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,5707513,6986,768,402423.5,3283307.5,NEON_D03_OSBS_DP1_20181012_L020-1_radiance,OSBS,EPSG:32617,-9999
D03,BARC,BARC.AOS.outlet,WGS84,outlet,5819442,7123,768,402423.5,3283170.5,NEON_D03_OSBS_DP1_20181012_L020-1_radiance,OSBS,EPSG:32617,17.608755111694336
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5709174,691,7014,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L001-1_radiance,DELA,EPSG:32616,17.017009735107422
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5709174,691,7014,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L001-1_radiance,DELA,EPSG:32616,17.017009735107422
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5709174,691,7014,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L001-1_radiance,DELA,EPSG:32616,17.017009735107422
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5794587,7076,162,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L012-1_radiance,DELA,EPSG:32616,15.083941459655762
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5794587,7076,162,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L012-1_radiance,DELA,EPSG:32616,15.083941459655762
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5794587,7076,162,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L012-1_radiance,DELA,EPSG:32616,15.083941459655762
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5426019,6724,558,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L013-1_radiance,DELA,EPSG:32616,15.20082664489746
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5426019,6724,558,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L013-1_radiance,DELA,EPSG:32616,15.20082664489746
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5426019,6724,558,425063.5,3600648.5,NEON_D08_DELA_DP1_20170515_L013-1_radiance,DELA,EPSG:32616,15.20082664489746
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,4403308,555,2332,425063.5,3600648.5,NEON_D08_DELA_DP1_20170516_L001-1_radiance,DELA,EPSG:32616,20.602676391601562
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,4403308,555,2332,425063.5,3600648.5,NEON_D08_DELA_DP1_20170516_L001-1_radiance,DELA,EPSG:32616,20.602676391601562
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,4403308,555,2332,425063.5,3600648.5,NEON_D08_DELA_DP1_20170516_L001-1_radiance,DELA,EPSG:32616,20.602676391601562
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6677983,520,7276,425063.5,3600648.5,NEON_D08_DELA_DP1_20170526_L001-1_radiance,DELA,EPSG:32616,17.137317657470703
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6677983,520,7276,425063.5,3600648.5,NEON_D08_DELA_DP1_20170526_L001-1_radiance,DELA,EPSG:32616,17.137317657470703
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6677983,520,7276,425063.5,3600648.5,NEON_D08_DELA_DP1_20170526_L001-1_radiance,DELA,EPSG:32616,17.137317657470703
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6493897,7596,172,425063.5,3600648.5,NEON_D08_DELA_DP1_20180430_L012-1_radiance,DELA,EPSG:32616,16.07066535949707
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6493897,7596,172,425063.5,3600648.5,NEON_D08_DELA_DP1_20180430_L012-1_radiance,DELA,EPSG:32616,16.07066535949707
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6493897,7596,172,425063.5,3600648.5,NEON_D08_DELA_DP1_20180430_L012-1_radiance,DELA,EPSG:32616,16.07066535949707
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6272498,7277,586,425063.5,3600648.5,NEON_D08_DELA_DP1_20180430_L013-1_radiance,DELA,EPSG:32616,16.169071197509766
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6272498,7277,586,425063.5,3600648.5,NEON_D08_DELA_DP1_20180430_L013-1_radiance,DELA,EPSG:32616,16.169071197509766
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6272498,7277,586,425063.5,3600648.5,NEON_D08_DELA_DP1_20180430_L013-1_radiance,DELA,EPSG:32616,16.169071197509766
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6386412,487,6690,425063.5,3600648.5,NEON_D08_DELA_DP1_20190429_L001-1_radiance,DELA,EPSG:32616,17.395586013793945
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6386412,487,6690,425063.5,3600648.5,NEON_D08_DELA_DP1_20190429_L001-1_radiance,DELA,EPSG:32616,17.395586013793945
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6386412,487,6690,425063.5,3600648.5,NEON_D08_DELA_DP1_20190429_L001-1_radiance,DELA,EPSG:32616,17.395586013793945
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6097594,7642,76,425063.5,3600648.5,NEON_D08_DELA_DP1_20190429_L012-1_radiance,DELA,EPSG:32616,15.238198280334473
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6097594,7642,76,425063.5,3600648.5,NEON_D08_DELA_DP1_20190429_L012-1_radiance,DELA,EPSG:32616,15.238198280334473
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6097594,7642,76,425063.5,3600648.5,NEON_D08_DELA_DP1_20190429_L012-1_radiance,DELA,EPSG:32616,15.238198280334473
