domanID,siteID,aop_site,loctype,flightline,spectraID,sensor_zenith,solar_zenith,clouds
D03,BARC,OSBS,buoy,20140507_152342,BARC-buoy-20140507_152342,3.540428876876831,30.09098713669444,Green (<10%) cloud cover
D03,BARC,OSBS,inle,20140507_152342,BARC-inle-20140507_152342,0.5829877853393555,30.09098713669444,Green (<10%) cloud cover
D03,BARC,OSBS,outl,20140507_152342,BARC-outl-20140507_152342,3.4435248374938965,30.09098713669444,Green (<10%) cloud cover
D03,BARC,OSBS,buoy,20140520_155014,BARC-buoy-20140520_155014,3.2985897064208984,23.09519102760117,Yellow (10 - 50%) cloud cover
D03,BARC,OSBS,inle,20140520_155014,BARC-inle-20140520_155014,1.2319331169128418,23.09519102760117,Yellow (10 - 50%) cloud cover
D03,BARC,OSBS,outl,20140520_155014,BARC-outl-20140520_155014,3.256176233291626,23.09519102760117,Yellow (10 - 50%) cloud cover
D03,BARC,OSBS,inle,20140520_155830,BARC-inle-20140520_155830,21.034067153930664,21.437108954507245,Yellow (10 - 50%) cloud cover
D03,BARC,OSBS,buoy,20170927_170305,BARC-buoy-20170927_170305,18.44963836669922,31.466435115663195,Red (> 50%) cloud cover
D03,BARC,OSBS,inle,20170927_170305,BARC-inle-20170927_170305,21.716506958007812,31.466435115663195,Red (> 50%) cloud cover
D03,BARC,OSBS,outl,20170927_170305,BARC-outl-20170927_170305,18.726991653442383,31.466435115663195,Red (> 50%) cloud cover
D03,BARC,OSBS,buoy,20180915_154327,BARC-buoy-20180915_154327,3.247718811035156,35.20630820474475,Red (> 50%) cloud cover
D03,BARC,OSBS,inle,20180915_154327,BARC-inle-20180915_154327,0.9785497188568116,35.20630820474475,Red (> 50%) cloud cover
D03,BARC,OSBS,outl,20180915_154327,BARC-outl-20180915_154327,3.3156933784484863,35.20630820474475,Red (> 50%) cloud cover
D03,BARC,OSBS,buoy,20181012_172548,BARC-buoy-20181012_172548,3.1541569232940674,37.23516890668017,Green (<10%) cloud cover
D03,BARC,OSBS,inle,20181012_172548,BARC-inle-20181012_172548,1.2607861757278442,37.23516890668017,Green (<10%) cloud cover
D03,BARC,OSBS,outl,20181012_172548,BARC-outl-20181012_172548,3.051051616668701,37.23516890668017,Green (<10%) cloud cover
D11,BLUE,BLUE,S2,20170506_160715,BLUE-S2-20170506_160715,14.260016441345217,35.196455304044164,Green (<10%) cloud cover
D11,BLUE,BLUE,reac,20170506_160715,BLUE-reac-20170506_160715,12.9245023727417,35.196455304044164,Green (<10%) cloud cover
D11,BLUE,BLUE,S2,20170506_161227,BLUE-S2-20170506_161227,7.042884826660156,34.2027819043501,Green (<10%) cloud cover
D11,BLUE,BLUE,reac,20170506_161227,BLUE-reac-20170506_161227,8.639181137084961,34.2027819043501,Green (<10%) cloud cover
D11,BLUE,BLUE,S2,20170506_161227,BLUE-S2-20170506_161227,2.415970802307129,34.2027819043501,Green (<10%) cloud cover
D08,BLWA,DELA,buoy,20170515_150153,BLWA-buoy-20170515_150153,13.010820388793944,39.3169726311511,Green (<10%) cloud cover
D08,BLWA,DELA,buoy,20170515_150942,BLWA-buoy-20170515_150942,11.507014274597168,37.701323045480144,Green (<10%) cloud cover
D08,BLWA,DELA,buoy,20170515_165759,BLWA-buoy-20170515_165759,6.234264850616455,17.54108718039506,Yellow (10 - 50%) cloud cover
D08,BLWA,DELA,buoy,20170516_203433,BLWA-buoy-20170516_203433,7.703665733337402,39.75288377763205,Red (> 50%) cloud cover
D08,BLWA,DELA,buoy,20170526_170443,BLWA-buoy-20170526_170443,6.7748589515686035,14.82524609004859,Green (<10%) cloud cover
D08,BLWA,DELA,buoy,20180430_155951,BLWA-buoy-20180430_155951,12.761197090148926,29.742695909536195,Green (<10%) cloud cover
D08,BLWA,DELA,buoy,20190429_151153,BLWA-buoy-20190429_151153,13.06674575805664,39.61397542280729,Yellow (10 - 50%) cloud cover
D08,BLWA,DELA,buoy,20190429_151835,BLWA-buoy-20190429_151835,10.049201965332031,38.35617360835873,Yellow (10 - 50%) cloud cover
D05,CRAM,UNDE,outl,20160902_173948,CRAM-outl-20160902_173948,17.843765258789062,38.81469033139992,Green (<10%) cloud cover
D05,CRAM,UNDE,inle,20160902_173948,CRAM-inle-20160902_173948,11.350332260131836,38.81469033139992,Green (<10%) cloud cover
D05,CRAM,UNDE,buoy,20160902_173948,CRAM-buoy-20160902_173948,8.1929349899292,38.81469033139992,Green (<10%) cloud cover
D05,CRAM,UNDE,outl,20160902_174607,CRAM-outl-20160902_174607,6.0460710525512695,38.72332832656395,Green (<10%) cloud cover
D05,CRAM,UNDE,inle,20160902_174607,CRAM-inle-20160902_174607,12.95050811767578,38.72332832656395,Green (<10%) cloud cover
D05,CRAM,UNDE,buoy,20160902_174607,CRAM-buoy-20160902_174607,16.036888122558594,38.72332832656395,Green (<10%) cloud cover
D05,CRAM,UNDE,outl,20170912_174910,CRAM-outl-20170912_174910,5.028635501861572,42.05641354825968,Green (<10%) cloud cover
D05,CRAM,UNDE,inle,20170912_174910,CRAM-inle-20170912_174910,12.786673545837402,42.05641354825968,Green (<10%) cloud cover
D05,CRAM,UNDE,buoy,20170912_174910,CRAM-buoy-20170912_174910,15.453609466552734,42.05641354825968,Green (<10%) cloud cover
D05,CRAM,UNDE,inle,20170912_175640,CRAM-inle-20170912_175640,11.022210121154783,42.06605159096676,Green (<10%) cloud cover
D05,CRAM,UNDE,buoy,20170912_175640,CRAM-buoy-20170912_175640,8.450342178344727,42.06605159096676,Green (<10%) cloud cover
D05,CRAM,UNDE,inle,20190608_153245,CRAM-inle-20190608_153245,11.91374969482422,37.06977823085638,Green (<10%) cloud cover
D05,CRAM,UNDE,buoy,20190608_153245,CRAM-buoy-20190608_153245,8.843751907348633,37.06977823085638,Green (<10%) cloud cover
D05,CRAM,UNDE,outl,20200811_171525,CRAM-outl-20200811_171525,6.674016952514648,32.787356500094546,Green (<10%) cloud cover
D05,CRAM,UNDE,inle,20200811_171525,CRAM-inle-20200811_171525,13.675207138061523,32.787356500094546,Green (<10%) cloud cover
D03,FLNT,JERC,buoy,20170917_144900,FLNT-buoy-20170917_144900,10.93479061126709,47.65830670318081,Green (<10%) cloud cover
D03,FLNT,JERC,buoy,20170917_174613,FLNT-buoy-20170917_174613,11.589470863342283,29.27584745155672,Yellow (10 - 50%) cloud cover
D03,FLNT,JERC,buoy,20170918_165616,FLNT-buoy-20170918_165616,13.348827362060549,30.401795250022342,Green (<10%) cloud cover
D03,FLNT,JERC,buoy,20180916_155910,FLNT-buoy-20180916_155910,11.032673835754396,35.5851001628766,Green (<10%) cloud cover
D03,FLNT,JERC,buoy,20180919_153133,FLNT-buoy-20180919_153133,12.857888221740724,40.477486647618974,Green (<10%) cloud cover
D03,FLNT,JERC,buoy,20190830_182242,FLNT-buoy-20190830_182242,10.642117500305176,24.61921396459268,Red (> 50%) cloud cover
D03,FLNT,JERC,buoy,20190906_144357,FLNT-buoy-20190906_144357,10.302536964416504,47.11663759703696,Green (<10%) cloud cover
D05,LIRO,LIRO,outl,20170911_195715,LIRO-outl-20170911_195715,11.410783767700195,49.50664176512647,Green (<10%) cloud cover
D05,LIRO,LIRO,buoy,20170911_195715,LIRO-buoy-20170911_195715,13.89523983001709,49.50664176512647,Green (<10%) cloud cover
D05,LIRO,LIRO,inle,20170911_200100,LIRO-inle-20170911_200100,5.554161071777344,49.9458760464205,Green (<10%) cloud cover
D05,LIRO,LIRO,outl,20170911_201126,LIRO-outl-20170911_201126,10.991092681884766,51.23842062852538,Green (<10%) cloud cover
D05,LIRO,LIRO,outl,20200816_150613,LIRO-outl-20200816_150613,8.20578384399414,49.56617545734046,Red (> 50%) cloud cover
D05,LIRO,LIRO,outl,20200816_152317,LIRO-outl-20200816_152317,8.856100082397461,46.95192471577515,Red (> 50%) cloud cover
