domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,collectDateDate,timediff,spectra
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,TSS,7.5,milligramsPerLiter,GOOD,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,TDS,10,milligramsPerLiter,GOOD,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,DOC,0.28,milligramsPerLiter,GOOD,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,TOC,0.35,milligramsPerLiter,GOOD,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,Fe,48.4,milligramsPerLiter,GOOD,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,UV Absorbance (254 nm),NA,NA,Other,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00:00Z,UV Absorbance (280 nm),NA,NA,Other,2014-05-13,6,BARC-buoy-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,TSS,7.5,milligramsPerLiter,GOOD,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,TDS,23,milligramsPerLiter,GOOD,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,DOC,0.32,milligramsPerLiter,GOOD,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,TOC,0.35,milligramsPerLiter,GOOD,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,Fe,22.6,milligramsPerLiter,GOOD,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,UV Absorbance (254 nm),NA,NA,Other,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,UV Absorbance (280 nm),NA,NA,Other,2014-06-03,27,BARC-inle-20140507_152342
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,TSS,7.5,milligramsPerLiter,GOOD,2014-06-03,27,BARC-outl-20140507_152342
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,TDS,10,milligramsPerLiter,GOOD,2014-06-03,27,BARC-outl-20140507_152342
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,DOC,0.47,milligramsPerLiter,GOOD,2014-06-03,27,BARC-outl-20140507_152342
