domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D13,COMO,COMO.AOS.S2,WGS84,2020,NEON_D13_NIWO_DP3_453000_4431000_reflectance.h5
D13,COMO,COMO.AOS.S2,WGS84,2019,NEON_D13_NIWO_DP3_453000_4431000_reflectance.h5
D14,SYCA,SYCA.AOS.S2,WGS84,2019,NEON_D14_SYCA_DP3_452000_3734000_reflectance.h5
D14,SYCA,SYCA.AOS.reach,WGS84,2019,NEON_D14_SYCA_DP3_452000_3734000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2018,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2018,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2018,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2018,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2018,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2018,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2018,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2018,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2018,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2018,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2018,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2018,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2018,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2018,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2018,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2018,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D11,BLUE,BLUE.AOS.S2,WGS84,S2,2017,NEON_D11_BLUE_DP3_718000_3813000_reflectance.h5
D11,BLUE,BLUE.AOS.S2,WGS84,S2,2017,NEON_D11_BLUE_DP3_718000_3814000_reflectance.h5
D11,BLUE,BLUE.AOS.reach,WGS84,reach,2017,NEON_D11_BLUE_DP3_718000_3813000_reflectance.h5
D11,BLUE,BLUE.AOS.reach,WGS84,reach,2017,NEON_D11_BLUE_DP3_718000_3814000_reflectance.h5
